"tlx_mental","overallTiATrust","study","overallTiAUnderstanding","perceivedSafetyCombined","Demand","Supply","Understanding","SA"
14,3,"trajectory-pre",3.25,-0.75,14,20,12,18
1,4,"trajectory-pre",4,2,13,14,15,16
8,3,"trajectory-pre",3,2,15,23,15,23
6,5,"trajectory-pre",4.25,2.5,7,15,17,25
18,3,"trajectory-pre",2,-1,10,11,13,14
7,4,"trajectory-pre",3.5,2,11,16,13,18
8,4.5,"trajectory-pre",4,3,9,15,13,19
11,3,"trajectory-pre",3.75,1,15,11,11,7
4,3,"trajectory-pre",3.75,-1.5,15,17,10,12
1,5,"trajectory-pre",5,2,10,26,15,31
16,2,"trajectory-pre",2,-2,15,23,17,25
18,3,"trajectory-pre",2.5,1.25,20,15,6,1
17,3.5,"trajectory-pre",3,3,12,16,11,15
12,1,"trajectory-pre",2.5,-1.5,16,16,11,11
7,4,"trajectory-pre",4.25,2.25,13,18,12,17
7,2,"trajectory-pre",1.75,-1.25,14,20,9,15
5,4,"trajectory-pre",2.75,2.25,19,14,6,1
1,1,"trajectory-pre",1.5,-2.25,20,27,16,23
4,1,"trajectory-pre",1,0,21,13,7,-1
11,4,"trajectory-pre",3.5,1,14,19,14,19
10,4,"trajectory-pre",4,2,14,21,16,23
6,3,"trajectory-pre",3.5,-0.5,14,14,11,11
1,4,"trajectory-pre",3.5,1,10,19,12,21
7,3,"trajectory-pre",1.5,2,17,16,8,7
8,4.5,"trajectory-pre",4,3,11,14,10,13
7,2,"trajectory-pre",3.5,2.5,9,16,10,17
5,4,"trajectory-pre",4,2.5,5,17,18,30
13,4,"trajectory-pre",4.25,0.25,18,19,16,17
6,4,"trajectory-pre",4.75,2,14,23,14,23
15,5,"trajectory-pre",5,3,13,19,13,19
8,3,"trajectory-pre",4.25,-1.5,18,19,11,12
1,3,"trajectory-pre",4,2,14,19,13,18
5,4,"trajectory-pre",3.75,3,9,18,11,20
18,3,"trajectory-pre",1.75,-1.25,9,13,13,17
13,2,"trajectory-pre",2.5,2.25,21,8,5,-8
9,4,"trajectory-pre",3.75,2,11,17,13,19
20,2,"trajectory-pre",5,1.75,3,4,21,22
6,3,"trajectory-pre",3.5,-0.25,16,17,14,15
17,4.5,"trajectory-pre",3.75,2.5,15,23,17,25
4,4,"trajectory-pre",3.75,2.25,10,8,6,4
12,1.5,"trajectory-pre",3.25,2.5,16,7,11,2
11,3,"trajectory-pre",2.75,-0.5,13,16,17,20
